[server][info] Running client on level: ../levels/SAfriendofBFS.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
[Used: 681.72 MB, Free: 3408.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:  598,922, #Generated:  938,922, Time: 6.831 s
[Used: 729.72 MB, Free: 3360.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:  613,401, #Generated:  963,401, Time: 7.086 s
[Used: 627.72 MB, Free: 3462.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:  629,576, #Generated:  989,576, Time: 7.231 s
[Used: 676.72 MB, Free: 3413.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:  645,035, #Generated: 1,015,035, Time: 7.401 s
[Used: 724.72 MB, Free: 3365.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:  660,538, #Generated: 1,040,538, Time: 7.569 s
[Used: 772.72 MB, Free: 3317.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:  676,325, #Generated: 1,066,325, Time: 7.748 s
[Used: 821.72 MB, Free: 3268.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:  693,098, #Generated: 1,093,098, Time: 8.118 s
[Used: 726.72 MB, Free: 3363.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:  707,881, #Generated: 1,117,881, Time: 8.291 s
[Used: 774.72 MB, Free: 3315.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:  723,500, #Generated: 1,143,500, Time: 8.443 s
[Used: 822.72 MB, Free: 3267.28 MB, Alloc: 4090.00 MB, MaxAlloc: 8192.00 MB]
