[server][info] Running client on level: ../levels/SAsoko2_64.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
#Explored:  330,000, #Frontier:   33,795, #Generated:  363,795, Time: 81.682 s
[Used: 4408.72 MB, Free: 2195.28 MB, Alloc: 6604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   33,955, #Generated:  373,955, Time: 84.066 s
[Used: 4129.72 MB, Free: 2474.28 MB, Alloc: 6604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   37,547, #Generated:  387,547, Time: 86.156 s
[Used: 4680.72 MB, Free: 1923.28 MB, Alloc: 6604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   37,502, #Generated:  397,502, Time: 88.445 s
[Used: 4320.72 MB, Free: 2283.28 MB, Alloc: 6604.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:   35,221, #Generated:  405,221, Time: 91.013 s
[Used: 4871.72 MB, Free: 2508.28 MB, Alloc: 7380.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:   37,673, #Generated:  417,673, Time: 93.547 s
[Used: 4493.72 MB, Free: 2886.28 MB, Alloc: 7380.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:   40,312, #Generated:  430,312, Time: 95.835 s
[Used: 5046.72 MB, Free: 2333.28 MB, Alloc: 7380.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:   38,088, #Generated:  438,088, Time: 98.497 s
[Used: 4864.72 MB, Free: 3215.28 MB, Alloc: 8080.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:   38,056, #Generated:  448,056, Time: 101.691 s
[Used: 5416.72 MB, Free: 2663.28 MB, Alloc: 8080.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:   40,000, #Generated:  460,000, Time: 106.311 s
[Used: 4802.72 MB, Free: 3277.28 MB, Alloc: 8080.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:   41,854, #Generated:  471,854, Time: 109.098 s
[Used: 5084.72 MB, Free: 3107.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:   39,189, #Generated:  479,189, Time: 111.857 s
[Used: 5048.72 MB, Free: 3143.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:   40,314, #Generated:  490,314, Time: 114.345 s
[Used: 5279.72 MB, Free: 2912.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:   41,562, #Generated:  501,562, Time: 117.118 s
[Used: 5203.72 MB, Free: 2988.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:   43,677, #Generated:  513,677, Time: 119.474 s
