[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using greedy evaluation.
[Used: 348.72 MB, Free: 845.28 MB, Alloc: 1194.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:  259,306, #Generated:  599,306, Time: 11.330 s
[Used: 382.72 MB, Free: 811.28 MB, Alloc: 1194.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:  266,220, #Generated:  616,220, Time: 11.697 s
[Used: 417.72 MB, Free: 776.28 MB, Alloc: 1194.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:  271,463, #Generated:  631,463, Time: 11.778 s
[Used: 449.72 MB, Free: 744.28 MB, Alloc: 1194.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:  278,771, #Generated:  648,771, Time: 12.285 s
[Used: 366.72 MB, Free: 2017.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:  285,484, #Generated:  665,484, Time: 12.942 s
[Used: 399.72 MB, Free: 1984.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:  292,364, #Generated:  682,364, Time: 13.536 s
[Used: 432.72 MB, Free: 1951.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:  300,048, #Generated:  700,048, Time: 14.416 s
[Used: 473.72 MB, Free: 1910.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:  307,149, #Generated:  717,149, Time: 15.201 s
[Used: 418.72 MB, Free: 1965.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:  312,532, #Generated:  732,532, Time: 15.390 s
[Used: 450.72 MB, Free: 1933.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:  319,845, #Generated:  749,845, Time: 15.623 s
[Used: 485.72 MB, Free: 1898.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:  327,805, #Generated:  767,805, Time: 15.992 s
[Used: 521.72 MB, Free: 1862.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:  335,008, #Generated:  785,008, Time: 16.866 s
[Used: 464.72 MB, Free: 1919.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:  340,462, #Generated:  800,462, Time: 17.217 s
[Used: 499.72 MB, Free: 1884.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:  345,964, #Generated:  815,964, Time: 17.525 s
[Used: 531.72 MB, Free: 1852.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:  351,710, #Generated:  831,710, Time: 17.883 s
[Used: 480.72 MB, Free: 1903.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:  358,334, #Generated:  848,334, Time: 18.150 s
[Used: 513.72 MB, Free: 1870.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:  365,467, #Generated:  865,467, Time: 18.352 s
[Used: 547.72 MB, Free: 1836.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:  371,391, #Generated:  881,391, Time: 18.833 s
[Used: 581.72 MB, Free: 1802.28 MB, Alloc: 2384.00 MB, MaxAlloc: 8192.00 MB]
