[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
[Used: 459.36 MB, Free: 1950.64 MB, Alloc: 2410.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   67,843, #Generated:  407,843, Time: 25.255 s
[Used: 938.36 MB, Free: 1471.64 MB, Alloc: 2410.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   69,070, #Generated:  419,070, Time: 25.969 s
[Used: 1405.36 MB, Free: 1004.64 MB, Alloc: 2410.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   69,677, #Generated:  429,677, Time: 26.976 s
[Used: 551.52 MB, Free: 1858.48 MB, Alloc: 2410.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:   72,125, #Generated:  442,125, Time: 27.695 s
[Used: 1034.52 MB, Free: 1375.48 MB, Alloc: 2410.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:   74,506, #Generated:  454,506, Time: 28.373 s
[Used: 1493.52 MB, Free: 916.48 MB, Alloc: 2410.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:   76,776, #Generated:  466,776, Time: 30.023 s
[Used: 624.52 MB, Free: 2085.48 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:   77,537, #Generated:  477,537, Time: 30.796 s
[Used: 1094.52 MB, Free: 1615.48 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:   79,401, #Generated:  489,401, Time: 31.475 s
[Used: 1567.51 MB, Free: 1142.49 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:   81,099, #Generated:  501,099, Time: 32.162 s
[Used: 639.33 MB, Free: 2070.67 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:   81,428, #Generated:  511,428, Time: 33.003 s
[Used: 1101.33 MB, Free: 1608.67 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:   82,476, #Generated:  522,476, Time: 33.867 s
[Used: 1548.32 MB, Free: 1161.68 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:   84,737, #Generated:  534,737, Time: 34.862 s
[Used: 494.19 MB, Free: 2215.81 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:   86,919, #Generated:  546,919, Time: 35.755 s
[Used: 925.19 MB, Free: 1784.81 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:   88,902, #Generated:  558,902, Time: 36.445 s
[Used: 1343.19 MB, Free: 1366.81 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:   89,796, #Generated:  569,796, Time: 37.841 s
[Used: 314.44 MB, Free: 2395.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:   90,301, #Generated:  580,301, Time: 39.587 s
[Used: 512.72 MB, Free: 2977.28 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:   91,758, #Generated:  591,758, Time: 41.523 s
[Used: 597.68 MB, Free: 2892.32 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:   93,038, #Generated:  603,038, Time: 43.035 s
[Used: 560.56 MB, Free: 2929.44 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:   94,687, #Generated:  614,687, Time: 43.718 s
[Used: 489.36 MB, Free: 3000.64 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:   96,846, #Generated:  626,846, Time: 44.720 s
[Used: 456.66 MB, Free: 3033.34 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:   99,168, #Generated:  639,168, Time: 45.351 s
[Used: 402.72 MB, Free: 3087.28 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  100,838, #Generated:  650,838, Time: 45.886 s
[Used: 824.72 MB, Free: 2665.28 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  102,099, #Generated:  662,099, Time: 46.627 s
[Used: 702.72 MB, Free: 2787.28 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  102,663, #Generated:  672,663, Time: 47.498 s
[Used: 578.81 MB, Free: 2911.19 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  102,950, #Generated:  682,950, Time: 48.240 s
[Used: 418.62 MB, Free: 3071.38 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  104,306, #Generated:  694,306, Time: 49.046 s
[Used: 839.62 MB, Free: 2650.38 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  105,821, #Generated:  705,821, Time: 49.736 s
[Used: 508.62 MB, Free: 2981.38 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:  107,584, #Generated:  717,584, Time: 50.153 s
[Used: 907.62 MB, Free: 2582.38 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier:  108,017, #Generated:  728,017, Time: 50.810 s
[Used: 609.95 MB, Free: 2880.05 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier:  109,497, #Generated:  739,497, Time: 51.326 s
[Used: 1035.95 MB, Free: 2454.05 MB, Alloc: 3490.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier:  112,098, #Generated:  752,098, Time: 52.157 s
[Used: 705.87 MB, Free: 2974.13 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:  113,083, #Generated:  763,083, Time: 52.635 s
[Used: 1105.87 MB, Free: 2574.13 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:  114,581, #Generated:  774,581, Time: 53.263 s
[Used: 589.87 MB, Free: 3090.13 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:  115,039, #Generated:  785,039, Time: 53.796 s
[Used: 1057.87 MB, Free: 2622.13 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:  116,553, #Generated:  796,553, Time: 54.564 s
[Used: 487.54 MB, Free: 3192.46 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:  117,122, #Generated:  807,122, Time: 55.018 s
[Used: 875.54 MB, Free: 2804.46 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  700,000, #Frontier:  119,671, #Generated:  819,671, Time: 55.455 s
[Used: 1292.54 MB, Free: 2387.46 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  710,000, #Frontier:  121,459, #Generated:  831,459, Time: 56.192 s
[Used: 735.40 MB, Free: 2944.60 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  720,000, #Frontier:  121,719, #Generated:  841,719, Time: 56.744 s
[Used: 1130.40 MB, Free: 2549.60 MB, Alloc: 3680.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  730,000, #Frontier:  121,636, #Generated:  851,636, Time: 57.374 s
[Used: 578.03 MB, Free: 3609.97 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  740,000, #Frontier:  123,910, #Generated:  863,910, Time: 58.574 s
[Used: 999.03 MB, Free: 3188.97 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  750,000, #Frontier:  125,641, #Generated:  875,641, Time: 59.330 s
[Used: 562.72 MB, Free: 3625.28 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  760,000, #Frontier:  127,174, #Generated:  887,174, Time: 60.014 s
[Used: 969.72 MB, Free: 3218.28 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  770,000, #Frontier:  127,947, #Generated:  897,947, Time: 60.693 s
[Used: 521.63 MB, Free: 3666.37 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  780,000, #Frontier:  129,410, #Generated:  909,410, Time: 61.119 s
[Used: 929.63 MB, Free: 3258.37 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  790,000, #Frontier:  130,472, #Generated:  920,472, Time: 61.923 s
[Used: 553.49 MB, Free: 3634.51 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  800,000, #Frontier:  130,920, #Generated:  930,920, Time: 62.674 s
[Used: 943.49 MB, Free: 3244.51 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  810,000, #Frontier:  131,336, #Generated:  941,336, Time: 63.212 s
[Used: 1396.49 MB, Free: 2791.51 MB, Alloc: 4188.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  820,000, #Frontier:  132,940, #Generated:  952,940, Time: 64.366 s
[Used: 784.49 MB, Free: 3637.51 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  830,000, #Frontier:  135,681, #Generated:  965,681, Time: 65.016 s
[Used: 1289.49 MB, Free: 3132.51 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  840,000, #Frontier:  135,772, #Generated:  975,772, Time: 65.918 s
[Used: 818.66 MB, Free: 3603.34 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  850,000, #Frontier:  135,800, #Generated:  985,800, Time: 66.512 s
[Used: 1305.65 MB, Free: 3116.35 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  860,000, #Frontier:  136,811, #Generated:  996,811, Time: 67.169 s
[Used: 838.65 MB, Free: 3583.35 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  870,000, #Frontier:  138,816, #Generated: 1,008,816, Time: 67.846 s
[Used: 1344.65 MB, Free: 3077.35 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  880,000, #Frontier:  141,061, #Generated: 1,021,061, Time: 68.818 s
[Used: 728.61 MB, Free: 3693.39 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  890,000, #Frontier:  143,395, #Generated: 1,033,395, Time: 69.573 s
[Used: 1187.62 MB, Free: 3234.38 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  900,000, #Frontier:  144,136, #Generated: 1,044,136, Time: 70.372 s
[Used: 898.27 MB, Free: 3523.73 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  910,000, #Frontier:  146,025, #Generated: 1,056,025, Time: 71.144 s
[Used: 1402.27 MB, Free: 3019.73 MB, Alloc: 4422.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  920,000, #Frontier:  147,436, #Generated: 1,067,436, Time: 72.115 s
[Used: 669.27 MB, Free: 4076.73 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  930,000, #Frontier:  147,704, #Generated: 1,077,704, Time: 73.100 s
[Used: 1158.27 MB, Free: 3587.73 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  940,000, #Frontier:  147,679, #Generated: 1,087,679, Time: 73.755 s
[Used: 1641.27 MB, Free: 3104.73 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  950,000, #Frontier:  149,144, #Generated: 1,099,144, Time: 75.177 s
[Used: 1105.51 MB, Free: 3640.49 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  960,000, #Frontier:  151,185, #Generated: 1,111,185, Time: 76.059 s
[Used: 1610.51 MB, Free: 3135.49 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  970,000, #Frontier:  151,477, #Generated: 1,121,477, Time: 77.070 s
[Used: 738.51 MB, Free: 4007.49 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  980,000, #Frontier:  150,931, #Generated: 1,130,931, Time: 77.784 s
[Used: 1222.51 MB, Free: 3523.49 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  990,000, #Frontier:  151,695, #Generated: 1,141,695, Time: 78.575 s
[Used: 706.56 MB, Free: 4039.44 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,000,000, #Frontier:  154,292, #Generated: 1,154,292, Time: 79.235 s
[Used: 1167.56 MB, Free: 3578.44 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,010,000, #Frontier:  156,704, #Generated: 1,166,704, Time: 80.018 s
[Used: 1617.56 MB, Free: 3128.44 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,020,000, #Frontier:  158,921, #Generated: 1,178,921, Time: 80.752 s
[Used: 790.56 MB, Free: 3955.44 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,030,000, #Frontier:  160,296, #Generated: 1,190,296, Time: 81.291 s
[Used: 1228.56 MB, Free: 3517.44 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,040,000, #Frontier:  160,238, #Generated: 1,200,238, Time: 81.883 s
[Used: 1714.56 MB, Free: 3031.44 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,050,000, #Frontier:  160,593, #Generated: 1,210,593, Time: 82.707 s
[Used: 1072.14 MB, Free: 3673.86 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,060,000, #Frontier:  161,510, #Generated: 1,221,510, Time: 83.293 s
[Used: 1564.14 MB, Free: 3181.86 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,070,000, #Frontier:  162,147, #Generated: 1,232,147, Time: 84.130 s
[Used: 920.72 MB, Free: 3825.28 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,080,000, #Frontier:  162,092, #Generated: 1,242,092, Time: 84.800 s
[Used: 1405.72 MB, Free: 3340.28 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,090,000, #Frontier:  161,746, #Generated: 1,251,746, Time: 85.572 s
[Used: 746.41 MB, Free: 3999.59 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,100,000, #Frontier:  162,883, #Generated: 1,262,883, Time: 86.352 s
[Used: 1230.41 MB, Free: 3515.59 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,110,000, #Frontier:  163,639, #Generated: 1,273,639, Time: 87.060 s
[Used: 1721.41 MB, Free: 3024.59 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,120,000, #Frontier:  164,626, #Generated: 1,284,626, Time: 87.950 s
[Used: 1037.55 MB, Free: 3708.45 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,130,000, #Frontier:  165,546, #Generated: 1,295,546, Time: 88.530 s
[Used: 1487.55 MB, Free: 3258.45 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,140,000, #Frontier:  167,647, #Generated: 1,307,647, Time: 89.353 s
[Used: 1960.55 MB, Free: 2785.45 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,150,000, #Frontier:  170,268, #Generated: 1,320,268, Time: 90.209 s
[Used: 1050.55 MB, Free: 3695.45 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,160,000, #Frontier:  172,296, #Generated: 1,332,296, Time: 91.124 s
[Used: 1493.55 MB, Free: 3252.45 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,170,000, #Frontier:  174,171, #Generated: 1,344,171, Time: 91.921 s
[Used: 802.48 MB, Free: 3943.52 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,180,000, #Frontier:  174,725, #Generated: 1,354,725, Time: 92.717 s
[Used: 1295.48 MB, Free: 3450.52 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,190,000, #Frontier:  174,655, #Generated: 1,364,655, Time: 93.610 s
[Used: 809.72 MB, Free: 3936.28 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,200,000, #Frontier:  174,675, #Generated: 1,374,675, Time: 94.348 s
[Used: 1290.72 MB, Free: 3455.28 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,210,000, #Frontier:  174,753, #Generated: 1,384,753, Time: 94.983 s
[Used: 1766.72 MB, Free: 2979.28 MB, Alloc: 4746.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,220,000, #Frontier:  174,968, #Generated: 1,394,968, Time: 95.790 s
[Used: 1055.72 MB, Free: 3828.28 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,230,000, #Frontier:  174,541, #Generated: 1,404,541, Time: 96.524 s
[Used: 1530.72 MB, Free: 3353.28 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,240,000, #Frontier:  174,232, #Generated: 1,414,232, Time: 97.540 s
[Used: 1157.72 MB, Free: 3726.28 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,250,000, #Frontier:  175,821, #Generated: 1,425,821, Time: 98.288 s
[Used: 1583.72 MB, Free: 3300.28 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,260,000, #Frontier:  177,345, #Generated: 1,437,345, Time: 99.335 s
[Used: 2006.72 MB, Free: 2877.28 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,270,000, #Frontier:  178,453, #Generated: 1,448,453, Time: 100.754 s
[Used: 977.06 MB, Free: 3906.94 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,280,000, #Frontier:  178,683, #Generated: 1,458,683, Time: 101.455 s
[Used: 1401.06 MB, Free: 3482.94 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,290,000, #Frontier:  179,483, #Generated: 1,469,483, Time: 102.433 s
[Used: 1844.06 MB, Free: 3039.94 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,300,000, #Frontier:  182,017, #Generated: 1,482,017, Time: 103.363 s
[Used: 854.98 MB, Free: 4029.02 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,310,000, #Frontier:  183,148, #Generated: 1,493,148, Time: 104.161 s
[Used: 1273.98 MB, Free: 3610.02 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,320,000, #Frontier:  184,894, #Generated: 1,504,894, Time: 105.262 s
[Used: 1702.98 MB, Free: 3181.02 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,330,000, #Frontier:  185,883, #Generated: 1,515,883, Time: 106.212 s
[Used: 889.06 MB, Free: 3994.94 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
#Explored: 1,340,000, #Frontier:  186,248, #Generated: 1,526,248, Time: 106.907 s
[Used: 1370.06 MB, Free: 3513.94 MB, Alloc: 4884.00 MB, MaxAlloc: 8192.00 MB]
