[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting best-first search using A* evaluation.
[Used: 1263.30 MB, Free: 958.70 MB, Alloc: 2222.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   76,968, #Generated:  416,968, Time: 28.657 s
[Used: 448.62 MB, Free: 1773.38 MB, Alloc: 2222.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   77,919, #Generated:  427,919, Time: 29.337 s
[Used: 903.62 MB, Free: 1318.38 MB, Alloc: 2222.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   79,382, #Generated:  439,382, Time: 30.103 s
[Used: 1380.62 MB, Free: 841.38 MB, Alloc: 2222.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:   81,520, #Generated:  451,520, Time: 31.533 s
[Used: 634.44 MB, Free: 2075.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:   81,929, #Generated:  461,929, Time: 32.348 s
[Used: 1094.44 MB, Free: 1615.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:   82,537, #Generated:  472,537, Time: 33.157 s
[Used: 1552.44 MB, Free: 1157.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:   84,625, #Generated:  484,625, Time: 33.948 s
[Used: 471.44 MB, Free: 2238.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:   86,797, #Generated:  496,797, Time: 34.515 s
[Used: 897.44 MB, Free: 1812.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:   88,513, #Generated:  508,513, Time: 35.032 s
[Used: 1290.44 MB, Free: 1419.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:   89,134, #Generated:  519,134, Time: 35.792 s
[Used: 1751.44 MB, Free: 958.56 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:   89,730, #Generated:  529,730, Time: 36.582 s
[Used: 721.89 MB, Free: 1988.11 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:   91,213, #Generated:  541,213, Time: 37.173 s
[Used: 1184.89 MB, Free: 1525.11 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:   93,191, #Generated:  553,191, Time: 37.862 s
[Used: 1620.89 MB, Free: 1089.11 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:   94,356, #Generated:  564,356, Time: 38.643 s
[Used: 535.22 MB, Free: 2174.78 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:   96,369, #Generated:  576,369, Time: 39.302 s
[Used: 954.22 MB, Free: 1755.78 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:   98,457, #Generated:  588,457, Time: 39.961 s
[Used: 1379.22 MB, Free: 1330.78 MB, Alloc: 2710.00 MB, MaxAlloc: 8192.00 MB]
