[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting depth-first search.
[Used: 386.72 MB, Free: 1251.28 MB, Alloc: 1638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:  244,589, #Generated:  584,589, Time: 4.853 s
[Used: 415.72 MB, Free: 1222.28 MB, Alloc: 1638.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:  251,427, #Generated:  601,427, Time: 5.112 s
[Used: 346.72 MB, Free: 3591.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:  259,777, #Generated:  619,777, Time: 5.273 s
[Used: 375.72 MB, Free: 3562.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:  266,456, #Generated:  636,456, Time: 5.478 s
[Used: 403.72 MB, Free: 3534.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:  272,061, #Generated:  652,061, Time: 5.637 s
[Used: 430.72 MB, Free: 3507.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:  280,012, #Generated:  670,012, Time: 5.790 s
[Used: 460.72 MB, Free: 3477.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:  285,532, #Generated:  685,532, Time: 6.067 s
[Used: 494.72 MB, Free: 3443.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:  292,162, #Generated:  702,162, Time: 6.365 s
[Used: 402.72 MB, Free: 3535.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:  298,402, #Generated:  718,402, Time: 6.477 s
[Used: 430.72 MB, Free: 3507.28 MB, Alloc: 3938.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:  305,234, #Generated:  735,234, Time: 6.586 s
