[server][info] Running client on level: ../levels/SACrunch.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:  330,000, #Frontier:   54,437, #Generated:  384,437, Time: 2.706 s
[Used: 284.72 MB, Free: 1387.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   52,155, #Generated:  392,155, Time: 2.803 s
[Used: 308.72 MB, Free: 1363.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   50,253, #Generated:  400,253, Time: 2.895 s
[Used: 331.72 MB, Free: 1340.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   52,039, #Generated:  412,039, Time: 3.000 s
[Used: 358.72 MB, Free: 1313.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:   57,687, #Generated:  427,687, Time: 3.186 s
[Used: 252.72 MB, Free: 1419.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:   63,894, #Generated:  443,894, Time: 3.274 s
[Used: 281.72 MB, Free: 1390.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:   69,415, #Generated:  459,415, Time: 3.362 s
[Used: 311.72 MB, Free: 1360.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:   74,790, #Generated:  474,790, Time: 3.578 s
[Used: 346.72 MB, Free: 1325.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:   75,743, #Generated:  485,743, Time: 3.677 s
[Used: 373.72 MB, Free: 1298.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:   73,578, #Generated:  493,578, Time: 3.754 s
[Used: 396.72 MB, Free: 1275.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:   71,585, #Generated:  501,585, Time: 3.817 s
[Used: 420.72 MB, Free: 1251.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:   69,946, #Generated:  509,946, Time: 3.986 s
[Used: 294.72 MB, Free: 1377.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:   68,241, #Generated:  518,241, Time: 4.042 s
[Used: 319.72 MB, Free: 1352.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:   65,592, #Generated:  525,592, Time: 4.117 s
[Used: 342.72 MB, Free: 1329.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:   63,631, #Generated:  533,631, Time: 4.187 s
[Used: 366.72 MB, Free: 1305.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:   61,451, #Generated:  541,451, Time: 4.257 s
[Used: 390.72 MB, Free: 1281.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:   65,406, #Generated:  555,406, Time: 4.333 s
[Used: 418.72 MB, Free: 1253.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:   70,958, #Generated:  570,958, Time: 4.423 s
[Used: 448.72 MB, Free: 1223.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:   76,530, #Generated:  586,530, Time: 4.504 s
[Used: 477.72 MB, Free: 1194.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:   82,000, #Generated:  602,000, Time: 4.579 s
[Used: 506.72 MB, Free: 1165.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:   86,387, #Generated:  616,387, Time: 4.746 s
[Used: 361.72 MB, Free: 1310.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:   92,831, #Generated:  632,831, Time: 4.832 s
[Used: 391.72 MB, Free: 1280.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:   92,141, #Generated:  642,141, Time: 4.904 s
[Used: 416.72 MB, Free: 1255.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:   89,658, #Generated:  649,658, Time: 4.973 s
[Used: 440.72 MB, Free: 1231.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:   88,166, #Generated:  658,166, Time: 5.047 s
[Used: 464.72 MB, Free: 1207.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:   85,258, #Generated:  665,258, Time: 5.111 s
[Used: 487.72 MB, Free: 1184.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:   82,881, #Generated:  672,881, Time: 5.175 s
[Used: 511.72 MB, Free: 1160.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:   81,408, #Generated:  681,408, Time: 5.237 s
[Used: 535.72 MB, Free: 1136.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:   79,093, #Generated:  689,093, Time: 5.305 s
[Used: 559.72 MB, Free: 1112.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier:   77,334, #Generated:  697,334, Time: 5.379 s
[Used: 583.72 MB, Free: 1088.28 MB, Alloc: 1672.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier:   75,199, #Generated:  705,199, Time: 5.580 s
[Used: 409.72 MB, Free: 3492.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier:   75,298, #Generated:  715,298, Time: 5.673 s
[Used: 435.72 MB, Free: 3466.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:   80,956, #Generated:  730,956, Time: 5.794 s
[Used: 464.72 MB, Free: 3437.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:   86,444, #Generated:  746,444, Time: 5.916 s
[Used: 493.72 MB, Free: 3408.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:   91,770, #Generated:  761,770, Time: 6.039 s
[Used: 523.72 MB, Free: 3378.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:   96,130, #Generated:  776,130, Time: 6.143 s
[Used: 551.72 MB, Free: 3350.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:  102,042, #Generated:  792,042, Time: 6.274 s
[Used: 584.72 MB, Free: 3317.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  700,000, #Frontier:  106,905, #Generated:  806,905, Time: 6.390 s
[Used: 613.72 MB, Free: 3288.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  710,000, #Frontier:  112,394, #Generated:  822,394, Time: 6.522 s
[Used: 643.72 MB, Free: 3258.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  720,000, #Frontier:  110,232, #Generated:  830,232, Time: 6.754 s
[Used: 475.72 MB, Free: 3426.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  730,000, #Frontier:  107,898, #Generated:  837,898, Time: 6.832 s
[Used: 499.72 MB, Free: 3402.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  740,000, #Frontier:  106,331, #Generated:  846,331, Time: 6.924 s
[Used: 523.72 MB, Free: 3378.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  750,000, #Frontier:  103,051, #Generated:  853,051, Time: 6.993 s
[Used: 546.72 MB, Free: 3355.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  760,000, #Frontier:  101,063, #Generated:  861,063, Time: 7.087 s
[Used: 570.72 MB, Free: 3331.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  770,000, #Frontier:   98,824, #Generated:  868,824, Time: 7.156 s
[Used: 594.72 MB, Free: 3307.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  780,000, #Frontier:   97,059, #Generated:  877,059, Time: 7.227 s
[Used: 618.72 MB, Free: 3283.28 MB, Alloc: 3902.00 MB, MaxAlloc: 8192.00 MB]
