[server][info] Running client on level: ../levels/SAFirefly.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Starting depth-first search.
[Used: 526.73 MB, Free: 579.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:  150,398, #Generated:  490,398, Time: 3.140 s
[Used: 569.73 MB, Free: 536.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:  154,355, #Generated:  504,355, Time: 3.195 s
[Used: 610.73 MB, Free: 495.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:  158,354, #Generated:  518,354, Time: 3.249 s
[Used: 651.73 MB, Free: 454.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:  161,501, #Generated:  531,501, Time: 3.300 s
[Used: 691.73 MB, Free: 414.27 MB, Alloc: 1106.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:  165,765, #Generated:  545,765, Time: 3.458 s
[Used: 565.73 MB, Free: 2728.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:  170,286, #Generated:  560,286, Time: 3.532 s
[Used: 607.73 MB, Free: 2686.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:  174,274, #Generated:  574,274, Time: 3.637 s
[Used: 654.73 MB, Free: 2639.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:  178,777, #Generated:  588,777, Time: 3.712 s
[Used: 696.73 MB, Free: 2597.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:  183,466, #Generated:  603,466, Time: 3.794 s
[Used: 738.73 MB, Free: 2555.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:  186,737, #Generated:  616,737, Time: 3.872 s
[Used: 778.73 MB, Free: 2515.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:  190,593, #Generated:  630,593, Time: 3.944 s
[Used: 818.73 MB, Free: 2475.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:  194,053, #Generated:  644,053, Time: 4.106 s
[Used: 671.73 MB, Free: 2622.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:  197,946, #Generated:  657,946, Time: 4.179 s
[Used: 716.73 MB, Free: 2577.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:  201,550, #Generated:  671,550, Time: 4.231 s
[Used: 757.73 MB, Free: 2536.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:  205,528, #Generated:  685,528, Time: 4.292 s
[Used: 798.73 MB, Free: 2495.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:  210,045, #Generated:  700,045, Time: 4.355 s
[Used: 840.73 MB, Free: 2453.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:  213,454, #Generated:  713,454, Time: 4.409 s
[Used: 880.73 MB, Free: 2413.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:  217,187, #Generated:  727,187, Time: 4.463 s
[Used: 921.73 MB, Free: 2372.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:  221,350, #Generated:  741,350, Time: 4.540 s
[Used: 964.73 MB, Free: 2329.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:  224,730, #Generated:  754,730, Time: 4.719 s
[Used: 784.73 MB, Free: 2509.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:  228,088, #Generated:  768,088, Time: 4.775 s
[Used: 824.73 MB, Free: 2469.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  231,391, #Generated:  781,391, Time: 4.832 s
[Used: 864.73 MB, Free: 2429.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  235,375, #Generated:  795,375, Time: 4.888 s
[Used: 905.73 MB, Free: 2388.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  239,303, #Generated:  809,303, Time: 4.944 s
[Used: 947.73 MB, Free: 2346.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  242,469, #Generated:  822,469, Time: 4.995 s
[Used: 987.73 MB, Free: 2306.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  245,914, #Generated:  835,914, Time: 5.046 s
[Used: 1027.73 MB, Free: 2266.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  250,327, #Generated:  850,327, Time: 5.101 s
[Used: 1069.73 MB, Free: 2224.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:  253,850, #Generated:  863,850, Time: 5.269 s
[Used: 869.73 MB, Free: 2424.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  620,000, #Frontier:  257,346, #Generated:  877,346, Time: 5.339 s
[Used: 909.73 MB, Free: 2384.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  630,000, #Frontier:  260,678, #Generated:  890,678, Time: 5.402 s
[Used: 950.73 MB, Free: 2343.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  640,000, #Frontier:  263,974, #Generated:  903,974, Time: 5.466 s
[Used: 990.73 MB, Free: 2303.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  650,000, #Frontier:  267,861, #Generated:  917,861, Time: 5.527 s
[Used: 1031.73 MB, Free: 2262.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  660,000, #Frontier:  271,790, #Generated:  931,790, Time: 5.582 s
[Used: 1072.73 MB, Free: 2221.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  670,000, #Frontier:  275,471, #Generated:  945,471, Time: 5.636 s
[Used: 1112.73 MB, Free: 2181.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  680,000, #Frontier:  279,456, #Generated:  959,456, Time: 5.694 s
[Used: 1154.73 MB, Free: 2139.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  690,000, #Frontier:  282,969, #Generated:  972,969, Time: 5.765 s
[Used: 1194.73 MB, Free: 2099.27 MB, Alloc: 3294.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  700,000, #Frontier:  286,766, #Generated:  986,766, Time: 5.937 s
[Used: 977.73 MB, Free: 4218.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  710,000, #Frontier:  289,915, #Generated:  999,915, Time: 6.017 s
[Used: 1018.73 MB, Free: 4177.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  720,000, #Frontier:  292,986, #Generated: 1,012,986, Time: 6.094 s
[Used: 1058.73 MB, Free: 4137.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  730,000, #Frontier:  296,864, #Generated: 1,026,864, Time: 6.167 s
[Used: 1098.73 MB, Free: 4097.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  740,000, #Frontier:  300,340, #Generated: 1,040,340, Time: 6.239 s
[Used: 1139.73 MB, Free: 4056.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  750,000, #Frontier:  304,011, #Generated: 1,054,011, Time: 6.312 s
[Used: 1180.73 MB, Free: 4015.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  760,000, #Frontier:  307,265, #Generated: 1,067,265, Time: 6.384 s
[Used: 1220.73 MB, Free: 3975.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  770,000, #Frontier:  310,836, #Generated: 1,080,836, Time: 6.455 s
[Used: 1261.73 MB, Free: 3934.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  780,000, #Frontier:  314,590, #Generated: 1,094,590, Time: 6.530 s
[Used: 1302.73 MB, Free: 3893.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  790,000, #Frontier:  317,532, #Generated: 1,107,532, Time: 6.690 s
[Used: 1352.73 MB, Free: 3843.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  800,000, #Frontier:  321,412, #Generated: 1,121,412, Time: 6.875 s
[Used: 1129.73 MB, Free: 4066.27 MB, Alloc: 5196.00 MB, MaxAlloc: 8192.00 MB]
