[server][info] Running client on level: ../levels/SAsoko3_16.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:   28,627, #Generated:   38,627, Time: 0.739 s
[Used: 75.62 MB, Free: 236.38 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   56,733, #Generated:   76,733, Time: 1.252 s
[Used: 112.42 MB, Free: 199.58 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   83,400, #Generated:  113,400, Time: 1.749 s
[Used: 192.72 MB, Free: 429.28 MB, Alloc: 622.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:  110,451, #Generated:  150,451, Time: 2.112 s
[Used: 263.72 MB, Free: 358.28 MB, Alloc: 622.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:  138,204, #Generated:  188,204, Time: 2.588 s
[Used: 324.72 MB, Free: 297.28 MB, Alloc: 622.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:  164,619, #Generated:  224,619, Time: 3.038 s
[Used: 368.72 MB, Free: 253.28 MB, Alloc: 622.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:  190,667, #Generated:  260,667, Time: 3.530 s
[Used: 414.72 MB, Free: 989.28 MB, Alloc: 1404.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:  217,856, #Generated:  297,856, Time: 4.296 s
[Used: 442.72 MB, Free: 961.28 MB, Alloc: 1404.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:  244,610, #Generated:  334,610, Time: 4.787 s
[Used: 563.72 MB, Free: 840.28 MB, Alloc: 1404.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:  272,431, #Generated:  372,431, Time: 5.298 s
[Used: 581.72 MB, Free: 822.28 MB, Alloc: 1404.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:  297,845, #Generated:  407,845, Time: 6.094 s
[Used: 585.72 MB, Free: 818.28 MB, Alloc: 1404.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:  321,451, #Generated:  441,451, Time: 6.627 s
[Used: 700.72 MB, Free: 703.28 MB, Alloc: 1404.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:  347,378, #Generated:  477,378, Time: 7.058 s
[Used: 681.72 MB, Free: 2334.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:  375,294, #Generated:  515,294, Time: 7.443 s
[Used: 799.72 MB, Free: 2216.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:  401,539, #Generated:  551,539, Time: 8.168 s
[Used: 766.72 MB, Free: 2249.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:  428,676, #Generated:  588,676, Time: 8.640 s
[Used: 884.72 MB, Free: 2131.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:  454,620, #Generated:  624,620, Time: 9.236 s
[Used: 1002.72 MB, Free: 2013.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:  481,647, #Generated:  661,647, Time: 10.047 s
[Used: 949.72 MB, Free: 2066.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:  510,433, #Generated:  700,433, Time: 10.437 s
[Used: 1073.72 MB, Free: 1942.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:  539,152, #Generated:  739,152, Time: 10.913 s
[Used: 1027.72 MB, Free: 1988.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:  564,800, #Generated:  774,800, Time: 11.563 s
[Used: 1143.72 MB, Free: 1872.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:  590,381, #Generated:  810,381, Time: 12.243 s
[Used: 1259.72 MB, Free: 1756.28 MB, Alloc: 3016.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:  615,907, #Generated:  845,907, Time: 13.133 s
[Used: 1204.72 MB, Free: 2847.28 MB, Alloc: 4052.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:  643,298, #Generated:  883,298, Time: 13.556 s
[Used: 1324.72 MB, Free: 2727.28 MB, Alloc: 4052.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:  670,534, #Generated:  920,534, Time: 14.466 s
[Used: 1244.72 MB, Free: 2807.28 MB, Alloc: 4052.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:  694,708, #Generated:  954,708, Time: 15.191 s
[Used: 1361.72 MB, Free: 2690.28 MB, Alloc: 4052.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:  721,082, #Generated:  991,082, Time: 16.027 s
[Used: 1479.72 MB, Free: 2572.28 MB, Alloc: 4052.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:  746,877, #Generated: 1,026,877, Time: 17.104 s
[Used: 1399.72 MB, Free: 2652.28 MB, Alloc: 4052.00 MB, MaxAlloc: 8192.00 MB]
