[server][info] Running client on level: ../levels/SAsoko2_64.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
[Used: 3896.72 MB, Free: 1911.28 MB, Alloc: 5808.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  330,000, #Frontier:   31,776, #Generated:  361,776, Time: 28.653 s
[Used: 4403.72 MB, Free: 2736.28 MB, Alloc: 7140.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:   32,445, #Generated:  372,445, Time: 29.830 s
[Used: 4124.72 MB, Free: 3015.28 MB, Alloc: 7140.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:   33,064, #Generated:  383,064, Time: 30.970 s
[Used: 4637.72 MB, Free: 2502.28 MB, Alloc: 7140.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:   33,921, #Generated:  393,921, Time: 32.037 s
[Used: 4294.72 MB, Free: 2845.28 MB, Alloc: 7140.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:   34,459, #Generated:  404,459, Time: 32.856 s
[Used: 4798.72 MB, Free: 2341.28 MB, Alloc: 7140.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:   35,151, #Generated:  415,151, Time: 33.635 s
[Used: 5312.72 MB, Free: 1827.28 MB, Alloc: 7140.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:   36,063, #Generated:  426,063, Time: 34.594 s
[Used: 4762.72 MB, Free: 2377.28 MB, Alloc: 7140.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:   36,508, #Generated:  436,508, Time: 35.804 s
[Used: 4490.72 MB, Free: 3701.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:   37,263, #Generated:  447,263, Time: 37.093 s
[Used: 5001.72 MB, Free: 3190.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:   38,043, #Generated:  458,043, Time: 38.319 s
[Used: 5514.72 MB, Free: 2677.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:   38,683, #Generated:  468,683, Time: 39.378 s
[Used: 5112.72 MB, Free: 3079.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:   39,101, #Generated:  479,101, Time: 40.322 s
[Used: 5614.72 MB, Free: 2577.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:   39,884, #Generated:  489,884, Time: 41.426 s
[Used: 5098.72 MB, Free: 3093.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:   40,754, #Generated:  500,754, Time: 42.249 s
[Used: 5610.72 MB, Free: 2581.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:   41,283, #Generated:  511,283, Time: 43.670 s
[Used: 5260.72 MB, Free: 2931.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:   41,769, #Generated:  521,769, Time: 44.753 s
[Used: 5474.72 MB, Free: 2717.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:   42,482, #Generated:  532,482, Time: 45.650 s
[Used: 5988.72 MB, Free: 2203.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:   43,348, #Generated:  543,348, Time: 46.581 s
[Used: 5841.72 MB, Free: 2350.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:   43,873, #Generated:  553,873, Time: 47.424 s
[Used: 6347.72 MB, Free: 1844.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:   44,275, #Generated:  564,275, Time: 48.435 s
[Used: 6111.72 MB, Free: 2080.28 MB, Alloc: 8192.00 MB, MaxAlloc: 8192.00 MB]
