[server][info] Running client on level: ../levels/SAsoko3_05.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:   17,360, #Generated:   27,360, Time: 0.390 s
[Used: 23.50 MB, Free: 236.50 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   29,382, #Generated:   49,382, Time: 0.681 s
[Used: 51.74 MB, Free: 208.26 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   37,859, #Generated:   67,859, Time: 1.023 s
[Used: 40.40 MB, Free: 271.60 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   46,541, #Generated:   86,541, Time: 1.295 s
[Used: 83.40 MB, Free: 228.60 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   54,816, #Generated:  104,816, Time: 1.652 s
[Used: 85.12 MB, Free: 226.88 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:   63,277, #Generated:  123,277, Time: 1.902 s
[Used: 76.19 MB, Free: 235.81 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:   69,531, #Generated:  139,531, Time: 2.129 s
[Used: 119.19 MB, Free: 192.81 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:   75,871, #Generated:  155,871, Time: 2.529 s
[Used: 101.81 MB, Free: 408.19 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:   82,702, #Generated:  172,702, Time: 2.967 s
[Used: 144.81 MB, Free: 365.19 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:   90,101, #Generated:  190,101, Time: 3.521 s
[Used: 111.10 MB, Free: 398.90 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:   93,409, #Generated:  203,409, Time: 3.770 s
[Used: 150.09 MB, Free: 359.91 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:   99,193, #Generated:  219,193, Time: 4.186 s
[Used: 195.10 MB, Free: 314.90 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:  102,910, #Generated:  232,910, Time: 4.620 s
[Used: 140.55 MB, Free: 369.45 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:  105,487, #Generated:  245,487, Time: 4.994 s
[Used: 180.55 MB, Free: 329.45 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:  108,683, #Generated:  258,683, Time: 5.498 s
[Used: 219.55 MB, Free: 290.45 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:  113,168, #Generated:  273,168, Time: 5.917 s
[Used: 260.55 MB, Free: 249.45 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:  117,600, #Generated:  287,600, Time: 6.436 s
[Used: 181.59 MB, Free: 328.41 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:  119,674, #Generated:  299,674, Time: 6.907 s
[Used: 221.59 MB, Free: 288.41 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:  123,797, #Generated:  313,797, Time: 7.452 s
[Used: 262.59 MB, Free: 247.41 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:  125,598, #Generated:  325,598, Time: 7.796 s
[Used: 304.59 MB, Free: 205.41 MB, Alloc: 510.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:  129,129, #Generated:  339,129, Time: 8.274 s
[Used: 214.72 MB, Free: 785.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:  132,612, #Generated:  352,612, Time: 8.840 s
[Used: 254.72 MB, Free: 745.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:  135,080, #Generated:  365,080, Time: 9.258 s
[Used: 294.72 MB, Free: 705.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:  137,579, #Generated:  377,579, Time: 9.693 s
[Used: 334.72 MB, Free: 665.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:  139,845, #Generated:  389,845, Time: 10.192 s
[Used: 375.72 MB, Free: 624.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:  142,804, #Generated:  402,804, Time: 10.904 s
[Used: 263.72 MB, Free: 736.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:  146,442, #Generated:  416,442, Time: 11.556 s
[Used: 304.72 MB, Free: 695.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:  148,391, #Generated:  428,391, Time: 11.964 s
[Used: 344.72 MB, Free: 655.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  290,000, #Frontier:  152,511, #Generated:  442,511, Time: 12.587 s
[Used: 387.72 MB, Free: 612.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  300,000, #Frontier:  153,787, #Generated:  453,787, Time: 13.253 s
[Used: 426.72 MB, Free: 573.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  310,000, #Frontier:  157,237, #Generated:  467,237, Time: 14.116 s
[Used: 287.72 MB, Free: 712.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  320,000, #Frontier:  159,411, #Generated:  479,411, Time: 14.748 s
[Used: 326.72 MB, Free: 673.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  330,000, #Frontier:  157,270, #Generated:  487,270, Time: 15.039 s
[Used: 361.72 MB, Free: 638.28 MB, Alloc: 1000.00 MB, MaxAlloc: 8192.00 MB]
