[server][info] Running client on level: ../levels/SAsoko3_07.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:   27,153, #Generated:   37,153, Time: 0.496 s
[Used: 33.66 MB, Free: 226.34 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   51,787, #Generated:   71,787, Time: 1.004 s
[Used: 56.41 MB, Free: 255.59 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   75,783, #Generated:  105,783, Time: 1.456 s
[Used: 89.28 MB, Free: 222.72 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   95,346, #Generated:  135,346, Time: 1.795 s
[Used: 114.72 MB, Free: 197.28 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:  115,787, #Generated:  165,787, Time: 2.286 s
[Used: 129.33 MB, Free: 460.67 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:  135,049, #Generated:  195,049, Time: 2.669 s
[Used: 188.33 MB, Free: 401.67 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:  156,231, #Generated:  226,231, Time: 3.083 s
[Used: 189.62 MB, Free: 400.38 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:  177,239, #Generated:  257,239, Time: 3.561 s
[Used: 185.72 MB, Free: 404.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:  197,148, #Generated:  287,148, Time: 3.849 s
[Used: 249.72 MB, Free: 340.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:  219,974, #Generated:  319,974, Time: 4.460 s
[Used: 235.72 MB, Free: 354.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:  239,464, #Generated:  349,464, Time: 4.886 s
