[server][info] Running client on level: ../levels/SAsoko3_08.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:  330,000, #Frontier:  742,773, #Generated: 1,072,773, Time: 16.421 s
[Used: 880.72 MB, Free: 1675.28 MB, Alloc: 2556.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:  763,844, #Generated: 1,103,844, Time: 17.075 s
[Used: 949.72 MB, Free: 1606.28 MB, Alloc: 2556.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:  789,543, #Generated: 1,139,543, Time: 17.855 s
[Used: 837.72 MB, Free: 1718.28 MB, Alloc: 2556.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:  813,325, #Generated: 1,173,325, Time: 19.144 s
[Used: 903.72 MB, Free: 1652.28 MB, Alloc: 2556.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:  836,924, #Generated: 1,206,924, Time: 20.116 s
[Used: 967.72 MB, Free: 1588.28 MB, Alloc: 2556.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:  860,604, #Generated: 1,240,604, Time: 21.178 s
[Used: 1032.72 MB, Free: 1523.28 MB, Alloc: 2556.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:  884,671, #Generated: 1,274,671, Time: 22.144 s
[Used: 931.72 MB, Free: 2272.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:  906,065, #Generated: 1,306,065, Time: 23.093 s
[Used: 1001.72 MB, Free: 2202.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:  925,564, #Generated: 1,335,564, Time: 23.846 s
[Used: 1063.72 MB, Free: 2140.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:  943,402, #Generated: 1,363,402, Time: 24.331 s
[Used: 1123.72 MB, Free: 2080.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:  962,279, #Generated: 1,392,279, Time: 24.847 s
[Used: 1185.72 MB, Free: 2018.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:  977,420, #Generated: 1,417,420, Time: 25.380 s
[Used: 1050.72 MB, Free: 2153.28 MB, Alloc: 3204.00 MB, MaxAlloc: 8192.00 MB]
