[server][info] Running client on level: ../levels/SAsoko3_06.lvl
SearchClient initializing. I am sending this using the error output stream.
[client][message] This is a comment.
Defaulting to BFS search. Use arguments -bfs, -dfs, -astar, -wastar, or -greedy to set the search strategy.
Starting breadth-first search.
#Explored:   10,000, #Frontier:   23,570, #Generated:   33,570, Time: 0.454 s
[Used: 33.70 MB, Free: 226.30 MB, Alloc: 260.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   20,000, #Frontier:   42,913, #Generated:   62,913, Time: 0.764 s
[Used: 46.94 MB, Free: 265.06 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   30,000, #Frontier:   61,586, #Generated:   91,586, Time: 1.035 s
[Used: 74.09 MB, Free: 237.91 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   40,000, #Frontier:   76,914, #Generated:  116,914, Time: 1.275 s
[Used: 91.24 MB, Free: 220.76 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   50,000, #Frontier:   90,421, #Generated:  140,421, Time: 1.527 s
[Used: 95.72 MB, Free: 216.28 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   60,000, #Frontier:  105,709, #Generated:  165,709, Time: 1.857 s
[Used: 146.72 MB, Free: 165.28 MB, Alloc: 312.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   70,000, #Frontier:  120,772, #Generated:  190,772, Time: 2.200 s
[Used: 145.08 MB, Free: 444.92 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   80,000, #Frontier:  137,502, #Generated:  217,502, Time: 2.705 s
[Used: 134.72 MB, Free: 455.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:   90,000, #Frontier:  150,551, #Generated:  240,551, Time: 3.012 s
[Used: 182.72 MB, Free: 407.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  100,000, #Frontier:  161,645, #Generated:  261,645, Time: 3.328 s
[Used: 160.72 MB, Free: 429.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  110,000, #Frontier:  176,892, #Generated:  286,892, Time: 3.711 s
[Used: 209.72 MB, Free: 380.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  120,000, #Frontier:  188,475, #Generated:  308,475, Time: 4.011 s
[Used: 256.72 MB, Free: 333.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  130,000, #Frontier:  200,945, #Generated:  330,945, Time: 4.461 s
[Used: 217.72 MB, Free: 372.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  140,000, #Frontier:  211,570, #Generated:  351,570, Time: 4.819 s
[Used: 264.72 MB, Free: 325.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  150,000, #Frontier:  224,003, #Generated:  374,003, Time: 5.222 s
[Used: 314.72 MB, Free: 275.28 MB, Alloc: 590.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  160,000, #Frontier:  235,065, #Generated:  395,065, Time: 5.794 s
[Used: 261.72 MB, Free: 940.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  170,000, #Frontier:  247,265, #Generated:  417,265, Time: 6.278 s
[Used: 308.72 MB, Free: 893.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  180,000, #Frontier:  257,155, #Generated:  437,155, Time: 6.692 s
[Used: 354.72 MB, Free: 847.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  190,000, #Frontier:  268,629, #Generated:  458,629, Time: 7.128 s
[Used: 288.72 MB, Free: 913.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  200,000, #Frontier:  283,662, #Generated:  483,662, Time: 7.647 s
[Used: 341.72 MB, Free: 860.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  210,000, #Frontier:  295,271, #Generated:  505,271, Time: 8.254 s
[Used: 389.72 MB, Free: 812.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  220,000, #Frontier:  311,118, #Generated:  531,118, Time: 8.938 s
[Used: 438.72 MB, Free: 763.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  230,000, #Frontier:  322,783, #Generated:  552,783, Time: 9.620 s
[Used: 359.72 MB, Free: 842.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  240,000, #Frontier:  332,117, #Generated:  572,117, Time: 9.884 s
[Used: 406.72 MB, Free: 795.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  250,000, #Frontier:  342,785, #Generated:  592,785, Time: 10.197 s
[Used: 453.72 MB, Free: 748.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  260,000, #Frontier:  350,376, #Generated:  610,376, Time: 10.551 s
[Used: 497.72 MB, Free: 704.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  270,000, #Frontier:  362,358, #Generated:  632,358, Time: 11.087 s
[Used: 390.72 MB, Free: 811.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  280,000, #Frontier:  373,257, #Generated:  653,257, Time: 11.648 s
[Used: 437.72 MB, Free: 764.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  290,000, #Frontier:  383,932, #Generated:  673,932, Time: 12.286 s
[Used: 484.72 MB, Free: 717.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  300,000, #Frontier:  394,674, #Generated:  694,674, Time: 12.748 s
[Used: 537.72 MB, Free: 664.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  310,000, #Frontier:  401,860, #Generated:  711,860, Time: 13.143 s
[Used: 581.72 MB, Free: 620.28 MB, Alloc: 1202.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  320,000, #Frontier:  412,337, #Generated:  732,337, Time: 13.704 s
[Used: 450.72 MB, Free: 1885.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  330,000, #Frontier:  422,192, #Generated:  752,192, Time: 14.231 s
[Used: 495.72 MB, Free: 1840.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  340,000, #Frontier:  429,577, #Generated:  769,577, Time: 14.687 s
[Used: 541.72 MB, Free: 1794.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  350,000, #Frontier:  435,758, #Generated:  785,758, Time: 15.202 s
[Used: 585.72 MB, Free: 1750.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  360,000, #Frontier:  446,870, #Generated:  806,870, Time: 15.770 s
[Used: 631.72 MB, Free: 1704.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  370,000, #Frontier:  456,483, #Generated:  826,483, Time: 16.526 s
[Used: 490.72 MB, Free: 1845.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  380,000, #Frontier:  467,035, #Generated:  847,035, Time: 17.259 s
[Used: 537.72 MB, Free: 1798.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  390,000, #Frontier:  475,196, #Generated:  865,196, Time: 18.017 s
[Used: 582.72 MB, Free: 1753.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  400,000, #Frontier:  484,904, #Generated:  884,904, Time: 18.762 s
[Used: 634.72 MB, Free: 1701.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  410,000, #Frontier:  496,537, #Generated:  906,537, Time: 19.478 s
[Used: 682.72 MB, Free: 1653.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  420,000, #Frontier:  507,803, #Generated:  927,803, Time: 20.280 s
[Used: 732.72 MB, Free: 1603.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  430,000, #Frontier:  517,251, #Generated:  947,251, Time: 21.170 s
[Used: 586.72 MB, Free: 1749.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  440,000, #Frontier:  524,532, #Generated:  964,532, Time: 21.425 s
[Used: 631.72 MB, Free: 1704.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  450,000, #Frontier:  532,370, #Generated:  982,370, Time: 22.050 s
[Used: 676.72 MB, Free: 1659.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  460,000, #Frontier:  544,540, #Generated: 1,004,540, Time: 22.599 s
[Used: 724.72 MB, Free: 1611.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  470,000, #Frontier:  556,426, #Generated: 1,026,426, Time: 23.245 s
[Used: 771.72 MB, Free: 1564.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  480,000, #Frontier:  567,348, #Generated: 1,047,348, Time: 24.175 s
[Used: 818.72 MB, Free: 1517.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  490,000, #Frontier:  575,999, #Generated: 1,065,999, Time: 25.459 s
[Used: 647.72 MB, Free: 1688.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  500,000, #Frontier:  584,985, #Generated: 1,084,985, Time: 26.312 s
[Used: 692.72 MB, Free: 1643.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  510,000, #Frontier:  596,856, #Generated: 1,106,856, Time: 27.267 s
[Used: 740.72 MB, Free: 1595.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  520,000, #Frontier:  607,838, #Generated: 1,127,838, Time: 28.302 s
[Used: 787.72 MB, Free: 1548.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  530,000, #Frontier:  618,798, #Generated: 1,148,798, Time: 29.245 s
[Used: 834.72 MB, Free: 1501.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  540,000, #Frontier:  627,608, #Generated: 1,167,608, Time: 30.151 s
[Used: 880.72 MB, Free: 1455.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  550,000, #Frontier:  637,690, #Generated: 1,187,690, Time: 31.671 s
[Used: 927.72 MB, Free: 1408.28 MB, Alloc: 2336.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  560,000, #Frontier:  645,346, #Generated: 1,205,346, Time: 32.269 s
[Used: 741.72 MB, Free: 1832.28 MB, Alloc: 2574.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  570,000, #Frontier:  652,615, #Generated: 1,222,615, Time: 32.746 s
[Used: 784.72 MB, Free: 1789.28 MB, Alloc: 2574.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  580,000, #Frontier:  658,537, #Generated: 1,238,537, Time: 33.247 s
[Used: 828.72 MB, Free: 1745.28 MB, Alloc: 2574.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  590,000, #Frontier:  668,356, #Generated: 1,258,356, Time: 33.776 s
[Used: 874.72 MB, Free: 1699.28 MB, Alloc: 2574.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  600,000, #Frontier:  675,578, #Generated: 1,275,578, Time: 34.385 s
[Used: 919.72 MB, Free: 1654.28 MB, Alloc: 2574.00 MB, MaxAlloc: 8192.00 MB]
#Explored:  610,000, #Frontier:  681,192, #Generated: 1,291,192, Time: 34.951 s
[Used: 961.72 MB, Free: 1612.28 MB, Alloc: 2574.00 MB, MaxAlloc: 8192.00 MB]
